"well_name","API_WellNo","BH_FtNS","BH_Lat","BH_Long"
"3C-09","50029213550000",1846,70.40626,-149.746546
"3C-10","50029213560000",1324,70.404838,-149.726071
"3C-11","50029213570000",1445,70.397295,-149.724643
"2Z-13","50029213600000",4098,70.303495,-149.770169
"2Z-14","50029213610000",1554,70.310439,-149.793136
"2Z-15","50029213620000",1291,70.318189,-149.771413
"2Z-16","50029213630000",1236,70.325687,-149.793798
"3B-09","50029213670000",1357,70.383143,-149.8109
"3B-10","50029213680000",1480,70.382808,-149.83148
"3B-11","50029213690000",1088,70.375412,-149.812166
"3B-12","50029213700000",657,70.374236,-149.837267
"2Z-09","50029213770000",1165,70.32588,-149.74801
"2Z-10","50029213780000",1211,70.317971,-149.725852
"2Z-11","50029213790000",1669,70.310125,-149.748382
"2Z-12","50029213800000",1026,70.30308,-149.729537
"1R-13","50029213850000",1013,70.398472,-149.665228
"1R-14","50029213860000",1126,70.398164,-149.641872
"1R-15","50029213870000",1512,70.390964,-149.664408
"1R-16","50029213880000",1078,70.389781,-149.643633
"3C-05","50029213890000",1046,70.412763,-149.795375
"3C-08","50029213900000",1031,70.412804,-149.725308
"3C-07","50029213910000",1019,70.412836,-149.748834
"3J-01","50029213970000",1015,70.403997,-149.877186
"3J-02","50029213980000",791,70.403386,-149.810819
"3J-03","50029213990000",1298,70.404767,-149.856402
"3J-04","50029214000000",1115,70.404269,-149.83359
"1R-01","50029214040000",1451,70.382887,-149.642546
"1R-02","50029214050000",1473,70.376462,-149.639413
"1R-03","50029214060000",1583,70.382527,-149.664782
"1R-04","50029214070000",1094,70.375428,-149.665334
"3A-01","50029214120000",1248,70.390245,-149.895835
"3C-01","50029214130000",1201,70.390117,-149.793525
"3C-02","50029214140000",1482,70.397194,-149.79221
"3C-03","50029214150000",1402,70.405051,-149.793598
"3C-04","50029214160000",1730,70.405947,-149.768449
"3C-13","50029214240000",1203,70.390122,-149.724018
"3C-14","50029214250000",934,70.389389,-149.746765
"3C-15","50029214260000",873,70.389277,-149.770689
"3C-16","50029214270000",1371,70.397496,-149.763661
"3A-02","50029214310000",984,70.389525,-149.958712
"3A-03","50029214320000",4518,70.38892,-149.94059
"3A-04","50029214330000",1227,70.390187,-149.917567
"3J-05","50029214360000",1506,70.41151,-149.879912
"3J-06","50029214370000",1327,70.411998,-149.804189
"3J-07","50029214380000",1492,70.411548,-149.855834
"3J-08","50029214390000",1408,70.411777,-149.830003
"3A-05","50029214420000",1400,70.397417,-149.895778
"3A-06","50029214430000",1565,70.396968,-149.9604
"3A-07","50029214440000",1324,70.397624,-149.918492
"3A-08","50029214450000",1513,70.397109,-149.940599
"3F-01","50029214460000",1078,70.360977,-149.897352
"3F-02","50029214470000",1363,70.368725,-149.897011
"3F-03","50029214480000",1093,70.361018,-149.918411
"3F-04","50029214490000",1458,70.368466,-149.919434
"3A-10","50029214570000",1446,70.40517,-149.919864
"3A-11","50029214580000",1208,70.404522,-149.96044
"3A-12","50029214590000",1335,70.404868,-149.902035
"3F-05","50029214600000",1184,70.383615,-149.89779
"3F-06","50029214620000",919,70.374951,-149.899827
"3F-07","50029214630000",1014,70.384078,-149.919994
"3F-08","50029214640000",1487,70.3765,-149.918614
"3J-09","50029214660000",1450,70.419557,-149.834856
"3J-10","50029214670000",1379,70.419364,-149.857644
"3J-11","50029214680000",1436,70.419519,-149.813854
"3J-12","50029214690000",1176,70.418812,-149.877664
"3F-09","50029214800000",1232,70.361397,-149.936257
"3F-10","50029214810000",1465,70.368447,-149.940258
"3F-11","50029214820000",1077,70.360974,-149.961268
"3F-12","50029214830000",1486,70.368389,-149.959945
"3A-13","50029214890000",999,70.412891,-149.938318
"3A-14","50029214900000",1094,70.412632,-149.917859
"3A-15","50029214910000",895,70.413174,-149.962672
"3A-16","50029214920000",1215,70.412303,-149.896143
"3J-13","50029214950000",1262,70.426546,-149.834166
"3J-14","50029214960000",1200,70.426714,-149.860298
"3J-15","50029214970000",1128,70.42691,-149.811306
"3J-16","50029214980000",1279,70.426499,-149.87962
"3F-13","50029214990000",945,70.384266,-149.943674
"3F-14","50029215000000",1567,70.376718,-149.942149
"3F-15","50029215010000",1315,70.376031,-149.960724
"3F-16","50029215020000",1310,70.383271,-149.962559
"3I-01","50029215140000",1517,70.440442,-149.896231
"3I-02","50029215150000",1707,70.434828,-149.892563
"3I-03","50029215160000",1136,70.441483,-149.921389
"3I-04","50029215170000",1116,70.426943,-149.896776
"3N-01","50029215190000",1073,70.433096,-149.877177
"3N-02","50029215270000",1123,70.433233,-149.855678
"3N-03","50029215280000",1473,70.440563,-149.878717
"3N-04","50029215290000",1260,70.455556,-149.878261
"3N-05","50029215370000",1157,,
"3N-06","50029215380000",1506,70.440473,-149.855474
"3N-07","50029215390000",1015,70.456224,-149.857805
"3N-08","50029215400000",1531,70.448763,-149.853665
"3N-09","50029215410000",1209,70.462291,-149.877812
"3I-05","50029215460000",1014,70.441816,-149.94244
"3I-06XX","50029215489500",1419,,
"3I-07","50029215490000",1477,70.425961,-149.919742
"3I-08","50029215500000",1253,70.419021,-149.898026
"3I-09","50029215610000",589,70.442976,-149.967264
"3I-10XX","50029215639500",1450,,
"3I-11XX","50029215649500",1368,,
"3I-12","50029215650000",943,70.432741,-149.961021
"3I-14","50029215670000",1123,70.418667,-149.918874
"3N-10","50029215760000",1209,70.433468,-149.833641
"3I-15","50029215790000",1259,70.419037,-149.937101
"3N-11","50029215800000",1508,70.463107,-149.857821
"3N-12","50029215820000",1933,70.439307,-149.835776
"3N-13","50029215840000",1158,70.455834,-149.833722
"3N-14","50029215890000",1248,70.447991,-149.833087
"3N-15","50029215920000",1338,70.448237,-149.812305
"3N-16","50029215930000",1417,70.440716,-149.811025
"3N-17","50029215940000",694,70.4571,-149.811384
"3N-18","50029215950000",862,70.43252,-149.811294
"3K-01","50029216000000",1687,70.449189,-149.769535
"3K-02","50029216010000",1396,70.448395,-149.794791
"3K-03","50029216020000",1225,70.44124,-149.724777
"3K-04","50029216030000",1605,70.440202,-149.800333
"3K-05","50029216180000",978,70.441914,-149.748664
"3K-06","50029216190000",998,70.44186,-149.771246
"3K-07","50029216200000",1382,70.43394,-149.724614
"3K-08","50029216210000",915,70.432665,-149.795525
"3K-13","50029216300000",1447,70.426042,-149.791959
"3K-14","50029216310000",1333,70.426352,-149.725081
"3K-15","50029216320000",724,70.417581,-149.771882
"3K-16","50029216330000",1107,70.418624,-149.746189
"3K-18","50029216410000",1205,70.41889,-149.725624
"3K-17","50029216420000",1233,70.418967,-149.790352
"3K-10","50029216530000",1424,70.434055,-149.770945
"3K-10A","50029216530100",1826,,
"3K-10AL1","50029216536000",2955,,
"3K-11","50029216540000",1475,70.425966,-149.76952
"3K-12","50029216550000",1399,70.426173,-149.756
"3K-09","50029216560000",1384,70.433946,-149.748175
"3M-01","50029216600000",1190,70.447833,-149.941014
"3Q-13","50029216640000",1003,70.470658,-149.879377
"3Q-14","50029216650000",1592,70.469052,-149.855613
"3Q-15","50029216660000",408,70.486669,-149.855254
"3Q-16","50029216670000",1152,70.476532,-149.851432
"3Q-09","50029216740000",1425,70.477276,-149.896231
"3Q-10","50029216750000",410,70.486664,-149.900404
"3Q-11","50029216760000",1288,70.476903,-149.878049
"3Q-12","50029216770000",436,70.486593,-149.878301
"3Q-08","50029216810000",1189,70.491019,-149.90751
"3Q-07","50029216820000",1856,70.468332,-149.897486
"3Q-06","50029216830000",1486,70.483732,-149.921299
"3Q-05","50029216840000",831,70.475657,-149.923989
"3Q-01XX","50029216879500",1187,,
"3Q-02","50029216880000",982,70.470715,-149.916369
"3Q-03XX","50029216899500",1167,,
"3Q-04XX","50029216909500",1412,,
"3M-02","50029216950000",1355,70.448283,-149.916972
"3M-03","50029216960000",691,70.446471,-149.968405
"3M-04","50029216970000",1367,70.448316,-149.896386
"3M-05","50029217060000",1835,70.453987,-149.901088
"3M-06","50029217070000",525,70.457561,-149.925945
"3M-07","50029217080000",1179,70.447803,-149.984004
"3M-08","50029217090000",1415,70.448447,-150.00635
"3M-09","50029217100000",2054,70.453389,-149.945113
"3M-10","50029217150000",1392,70.455196,-149.96596
"3M-11","50029217180000",1461,70.455007,-149.982805
"3M-12","50029217190000",700,70.457084,-150.016056
"3M-12XX","50029217199500",905,,
"3M-13","50029217200000",1191,70.462242,-149.896695
"3M-14","50029217260000",1444,70.462932,-149.941959
"3M-15","50029217270000",1673,70.463557,-149.962399
"3M-16","50029217280000",1342,70.462654,-149.920411
"3M-17","50029217290000",1191,70.470145,-149.964314
"3M-18","50029217300000",1063,70.470494,-149.941258
"3M-19","50029217370000",1780,70.454137,-149.994965
"3M-20","50029217380000",985,70.46168,-150.015209
"3M-21","50029217390000",1343,70.440918,-150.00014
"3M-22","50029217400000",1657,70.44006,-149.982895
