"well_name","ReportDate","WellType","Vol_Liq","Vol_Gas"
N-05,1987-11-01 00:00:00.000,"4",0,0
N-05,1985-04-01 00:00:00.000,"4",413210,0
N-05,1986-02-01 00:00:00.000,"4",343343,0
N-05,1984-10-01 00:00:00.000,"4",26120,0
N-05,1987-01-01 00:00:00.000,"4",448886,0
N-05,1987-06-01 00:00:00.000,"4",421880,0
N-05,1986-12-01 00:00:00.000,"4",439862,0
N-05,1985-01-01 00:00:00.000,"4",274310,0
N-05,1985-08-01 00:00:00.000,"4",345730,0
N-05,1987-09-01 00:00:00.000,"4",0,0
N-05,1986-09-01 00:00:00.000,"4",452450,0
N-05,1985-05-01 00:00:00.000,"4",376690,0
N-05,1986-10-01 00:00:00.000,"4",414457,0
N-05,1985-07-01 00:00:00.000,"4",341250,0
N-05,1986-06-01 00:00:00.000,"4",358846,0
N-05,1985-09-01 00:00:00.000,"4",354311,0
N-05,1985-10-01 00:00:00.000,"4",355573,0
N-05,1986-04-01 00:00:00.000,"4",379930,0
N-05,1987-08-01 00:00:00.000,"4",0,0
N-05,1984-12-01 00:00:00.000,"4",275830,0
N-05,1986-08-01 00:00:00.000,"4",373337,0
N-05,1987-07-01 00:00:00.000,"4",153607,0
N-05,1984-11-01 00:00:00.000,"4",235150,0
N-05,1987-04-01 00:00:00.000,"4",437275,0
N-05,1987-02-01 00:00:00.000,"4",420225,0
N-05,1986-05-01 00:00:00.000,"4",408208,0
N-05,1985-12-01 00:00:00.000,"4",338408,0
N-05,1987-10-01 00:00:00.000,"4",0,0
N-05,1985-03-01 00:00:00.000,"4",384315,0
N-05,1986-11-01 00:00:00.000,"4",429597,0
N-05,1986-03-01 00:00:00.000,"4",379682,0
N-05,1987-03-01 00:00:00.000,"4",459850,0
N-05,1987-12-01 00:00:00.000,"4",0,0
N-05,1985-11-01 00:00:00.000,"4",339288,0
N-05,1985-06-01 00:00:00.000,"4",381190,0
N-05,1986-07-01 00:00:00.000,"4",253713,0
N-05,1986-01-01 00:00:00.000,"4",360115,0
N-05,1987-05-01 00:00:00.000,"4",454966,0
N-05,1985-02-01 00:00:00.000,"4",258450,0
M-02,1988-11-01 00:00:00.000,"4",0,0
M-02,1985-05-01 00:00:00.000,"4",499140,0
M-02,1988-08-01 00:00:00.000,"4",503034,0
M-02,1985-11-01 00:00:00.000,"4",442137,0
M-02,1988-12-01 00:00:00.000,"4",0,0
M-02,1986-07-01 00:00:00.000,"4",233501,0
M-02,1987-02-01 00:00:00.000,"4",507572,0
M-02,1987-07-01 00:00:00.000,"4",592488,0
M-02,1987-01-01 00:00:00.000,"4",563461,0
M-02,1987-05-01 00:00:00.000,"4",550052,0
M-02,1988-07-01 00:00:00.000,"4",215777,444596
M-02,1984-10-01 00:00:00.000,"4",451699,0
M-02,1988-09-01 00:00:00.000,"4",348258,0
M-02,1986-04-01 00:00:00.000,"4",155303,0
M-02,1987-09-01 00:00:00.000,"4",344000,0
M-02,1986-06-01 00:00:00.000,"4",171447,0
M-02,1988-03-01 00:00:00.000,"4",92962,696259
M-02,1986-12-01 00:00:00.000,"4",563818,0
M-02,1985-06-01 00:00:00.000,"4",541560,0
M-02,1988-05-01 00:00:00.000,"4",518135,0
M-02,1984-12-01 00:00:00.000,"4",443820,0
